,PRECINCT_NUMBER,PARTY,VOTES,CANDIDATE
2517,87,IND,497,David Catania
2518,88,IND,699,David Catania
2519,89,IND,915,David Catania
2520,90,IND,477,David Catania
2521,91,IND,796,David Catania
2522,92,IND,112,David Catania
2523,93,IND,80,David Catania
2524,94,IND,107,David Catania
2525,95,IND,106,David Catania
2526,96,IND,175,David Catania
2527,97,IND,80,David Catania
2528,98,IND,185,David Catania
2529,99,IND,106,David Catania
2530,100,IND,95,David Catania
2531,101,IND,204,David Catania
2532,102,IND,187,David Catania
2533,103,IND,236,David Catania
2534,104,IND,195,David Catania
2535,105,IND,177,David Catania
2536,106,IND,321,David Catania
2537,107,IND,91,David Catania
2538,108,IND,213,David Catania
2539,109,IND,223,David Catania
2540,110,IND,578,David Catania
2541,111,IND,213,David Catania
2542,112,IND,203,David Catania
2543,113,IND,350,David Catania
2544,114,IND,181,David Catania
2545,115,IND,138,David Catania
2546,116,IND,165,David Catania
2547,117,IND,77,David Catania
2548,118,IND,138,David Catania
2549,119,IND,114,David Catania
2550,120,IND,115,David Catania
2551,121,IND,221,David Catania
2552,122,IND,143,David Catania
2553,123,IND,156,David Catania
2554,124,IND,210,David Catania
2555,125,IND,253,David Catania
2556,126,IND,189,David Catania
2557,127,IND,677,David Catania
2558,128,IND,304,David Catania
2559,129,IND,374,David Catania
2560,130,IND,273,David Catania
2561,131,IND,300,David Catania
2562,132,IND,127,David Catania
2563,133,IND,146,David Catania
2564,134,IND,142,David Catania
2565,135,IND,440,David Catania
2566,136,IND,202,David Catania
2567,137,IND,176,David Catania
2568,138,IND,650,David Catania
2569,139,IND,293,David Catania
2570,140,IND,161,David Catania
2571,141,IND,534,David Catania
2572,142,IND,320,David Catania
2573,143,IND,394,David Catania
2574,1,GRN,64,David Schwartzman
2575,2,GRN,21,David Schwartzman
2576,3,GRN,70,David Schwartzman
2577,4,GRN,74,David Schwartzman
2578,5,GRN,89,David Schwartzman
2579,6,GRN,78,David Schwartzman
2580,7,GRN,53,David Schwartzman
2581,8,GRN,107,David Schwartzman
2582,9,GRN,52,David Schwartzman
2583,10,GRN,75,David Schwartzman
2584,11,GRN,178,David Schwartzman
2585,12,GRN,22,David Schwartzman
2586,13,GRN,57,David Schwartzman
2587,14,GRN,112,David Schwartzman
2588,15,GRN,183,David Schwartzman
2589,16,GRN,131,David Schwartzman
2590,17,GRN,165,David Schwartzman
2591,18,GRN,141,David Schwartzman
2592,19,GRN,141,David Schwartzman
2593,20,GRN,24,David Schwartzman
2594,21,GRN,41,David Schwartzman
2595,22,GRN,133,David Schwartzman
2596,23,GRN,98,David Schwartzman
2597,24,GRN,124,David Schwartzman
2598,25,GRN,282,David Schwartzman
2599,26,GRN,136,David Schwartzman
2600,27,GRN,122,David Schwartzman
2601,28,GRN,110,David Schwartzman
2602,29,GRN,70,David Schwartzman
2603,30,GRN,75,David Schwartzman
2604,31,GRN,127,David Schwartzman
2605,32,GRN,125,David Schwartzman
2606,33,GRN,147,David Schwartzman
2607,34,GRN,195,David Schwartzman
2608,35,GRN,236,David Schwartzman
2609,36,GRN,165,David Schwartzman
2610,37,GRN,118,David Schwartzman
2611,38,GRN,95,David Schwartzman
2612,39,GRN,251,David Schwartzman
2613,40,GRN,298,David Schwartzman
2614,41,GRN,132,David Schwartzman
2615,42,GRN,76,David Schwartzman
2616,43,GRN,54,David Schwartzman
2617,44,GRN,78,David Schwartzman
2618,45,GRN,93,David Schwartzman
2619,46,GRN,101,David Schwartzman
2620,47,GRN,122,David Schwartzman
2621,48,GRN,147,David Schwartzman
2622,49,GRN,32,David Schwartzman
2623,50,GRN,132,David Schwartzman
2624,51,GRN,168,David Schwartzman
2625,52,GRN,66,David Schwartzman
2626,53,GRN,111,David Schwartzman
2627,54,GRN,128,David Schwartzman
2628,55,GRN,46,David Schwartzman
2629,56,GRN,112,David Schwartzman
2630,57,GRN,69,David Schwartzman
2631,58,GRN,100,David Schwartzman
2632,59,GRN,116,David Schwartzman
2633,60,GRN,69,David Schwartzman
2634,61,GRN,80,David Schwartzman
2635,62,GRN,148,David Schwartzman
2636,63,GRN,227,David Schwartzman
2637,64,GRN,86,David Schwartzman
2638,65,GRN,117,David Schwartzman
2639,66,GRN,166,David Schwartzman
2640,67,GRN,94,David Schwartzman
2641,68,GRN,108,David Schwartzman
2642,69,GRN,75,David Schwartzman
2643,70,GRN,97,David Schwartzman
2644,71,GRN,81,David Schwartzman
2645,72,GRN,76,David Schwartzman
2646,73,GRN,96,David Schwartzman
2647,74,GRN,105,David Schwartzman
2648,75,GRN,72,David Schwartzman
2649,76,GRN,14,David Schwartzman
2650,77,GRN,53,David Schwartzman
2651,78,GRN,59,David Schwartzman
2652,79,GRN,31,David Schwartzman
2653,80,GRN,35,David Schwartzman
2654,81,GRN,147,David Schwartzman
2655,82,GRN,115,David Schwartzman
2656,83,GRN,123,David Schwartzman
2657,84,GRN,102,David Schwartzman
2658,85,GRN,169,David Schwartzman
2659,86,GRN,61,David Schwartzman
2660,87,GRN,97,David Schwartzman
2661,88,GRN,115,David Schwartzman
2662,89,GRN,124,David Schwartzman
2663,90,GRN,87,David Schwartzman
2664,91,GRN,144,David Schwartzman
2665,92,GRN,40,David Schwartzman
2666,93,GRN,27,David Schwartzman
2667,94,GRN,28,David Schwartzman
2668,95,GRN,23,David Schwartzman
2669,96,GRN,41,David Schwartzman
2670,97,GRN,39,David Schwartzman
2671,98,GRN,52,David Schwartzman
2672,99,GRN,48,David Schwartzman
2673,100,GRN,22,David Schwartzman
2674,101,GRN,34,David Schwartzman
2675,102,GRN,49,David Schwartzman
2676,103,GRN,64,David Schwartzman
2677,104,GRN,43,David Schwartzman
2678,105,GRN,52,David Schwartzman
2679,106,GRN,68,David Schwartzman
2680,107,GRN,27,David Schwartzman
2681,108,GRN,52,David Schwartzman
2682,109,GRN,45,David Schwartzman
2683,110,GRN,130,David Schwartzman
2684,111,GRN,54,David Schwartzman
2685,112,GRN,53,David Schwartzman
2686,113,GRN,74,David Schwartzman
2687,114,GRN,40,David Schwartzman
2688,115,GRN,53,David Schwartzman
2689,116,GRN,41,David Schwartzman
2690,117,GRN,18,David Schwartzman
2691,118,GRN,52,David Schwartzman
2692,119,GRN,40,David Schwartzman
2693,120,GRN,48,David Schwartzman
2694,121,GRN,56,David Schwartzman
2695,122,GRN,29,David Schwartzman
2696,123,GRN,64,David Schwartzman
2697,124,GRN,51,David Schwartzman
2698,125,GRN,68,David Schwartzman
2699,126,GRN,74,David Schwartzman
2700,127,GRN,139,David Schwartzman
2701,128,GRN,74,David Schwartzman
2702,129,GRN,81,David Schwartzman
2703,130,GRN,43,David Schwartzman
2704,131,GRN,54,David Schwartzman
2705,132,GRN,38,David Schwartzman
2706,133,GRN,35,David Schwartzman
2707,134,GRN,40,David Schwartzman
2708,135,GRN,107,David Schwartzman
2709,136,GRN,37,David Schwartzman
2710,137,GRN,51,David Schwartzman
2711,138,GRN,132,David Schwartzman
2712,139,GRN,69,David Schwartzman
2713,140,GRN,25,David Schwartzman
2714,141,GRN,103,David Schwartzman
2715,142,GRN,50,David Schwartzman
2716,143,GRN,79,David Schwartzman
2717,1,NON,7,WRITE-IN
2718,2,NON,3,WRITE-IN
2719,3,NON,8,WRITE-IN
2720,4,NON,9,WRITE-IN
2721,5,NON,29,WRITE-IN
2722,6,NON,19,WRITE-IN
2723,7,NON,17,WRITE-IN
2724,8,NON,27,WRITE-IN
2725,9,NON,22,WRITE-IN
2726,10,NON,16,WRITE-IN
2727,11,NON,39,WRITE-IN
2728,12,NON,5,WRITE-IN
2729,13,NON,8,WRITE-IN
2730,14,NON,12,WRITE-IN
2731,15,NON,23,WRITE-IN
2732,16,NON,17,WRITE-IN
2733,17,NON,36,WRITE-IN
2734,18,NON,25,WRITE-IN
2735,19,NON,26,WRITE-IN
2736,20,NON,3,WRITE-IN
2737,21,NON,5,WRITE-IN
2738,22,NON,19,WRITE-IN
2739,23,NON,9,WRITE-IN
2740,24,NON,9,WRITE-IN
2741,25,NON,21,WRITE-IN
2742,26,NON,24,WRITE-IN
2743,27,NON,11,WRITE-IN
2744,28,NON,25,WRITE-IN
2745,29,NON,23,WRITE-IN
2746,30,NON,11,WRITE-IN
2747,31,NON,44,WRITE-IN
2748,32,NON,25,WRITE-IN
2749,33,NON,18,WRITE-IN
2750,34,NON,22,WRITE-IN
2751,35,NON,16,WRITE-IN
2752,36,NON,11,WRITE-IN
2753,37,NON,12,WRITE-IN
2754,38,NON,13,WRITE-IN
2755,39,NON,13,WRITE-IN
2756,40,NON,12,WRITE-IN
2757,41,NON,16,WRITE-IN
2758,42,NON,4,WRITE-IN
2759,43,NON,4,WRITE-IN
2760,44,NON,10,WRITE-IN
2761,45,NON,7,WRITE-IN
2762,46,NON,7,WRITE-IN
2763,47,NON,23,WRITE-IN
2764,48,NON,13,WRITE-IN
2765,49,NON,4,WRITE-IN
2766,50,NON,13,WRITE-IN
2767,51,NON,46,WRITE-IN
2768,52,NON,16,WRITE-IN
2769,53,NON,8,WRITE-IN
2770,54,NON,12,WRITE-IN
2771,55,NON,7,WRITE-IN
2772,56,NON,8,WRITE-IN
2773,57,NON,16,WRITE-IN
2774,58,NON,5,WRITE-IN
2775,59,NON,12,WRITE-IN
2776,60,NON,5,WRITE-IN
2777,61,NON,11,WRITE-IN
2778,62,NON,25,WRITE-IN
2779,63,NON,16,WRITE-IN
2780,64,NON,14,WRITE-IN
2781,65,NON,12,WRITE-IN
2782,66,NON,23,WRITE-IN
2783,67,NON,14,WRITE-IN
2784,68,NON,19,WRITE-IN
2785,69,NON,8,WRITE-IN
2786,70,NON,10,WRITE-IN
2787,71,NON,8,WRITE-IN
2788,72,NON,9,WRITE-IN
2789,73,NON,5,WRITE-IN
2790,74,NON,18,WRITE-IN
2791,75,NON,13,WRITE-IN
2792,76,NON,1,WRITE-IN
2793,77,NON,8,WRITE-IN
2794,78,NON,4,WRITE-IN
2795,79,NON,6,WRITE-IN
2796,80,NON,6,WRITE-IN
2797,81,NON,32,WRITE-IN
2798,82,NON,17,WRITE-IN
2799,83,NON,25,WRITE-IN
2800,84,NON,27,WRITE-IN
2801,85,NON,34,WRITE-IN
2802,86,NON,21,WRITE-IN
2803,87,NON,14,WRITE-IN
2804,88,NON,18,WRITE-IN
2805,89,NON,38,WRITE-IN
2806,90,NON,17,WRITE-IN
2807,91,NON,26,WRITE-IN
2808,92,NON,9,WRITE-IN
2809,93,NON,4,WRITE-IN
2810,94,NON,5,WRITE-IN
2811,95,NON,1,WRITE-IN
2812,96,NON,4,WRITE-IN
2813,97,NON,9,WRITE-IN
2814,98,NON,6,WRITE-IN
2815,99,NON,1,WRITE-IN
2816,100,NON,5,WRITE-IN
2817,101,NON,6,WRITE-IN
2818,102,NON,7,WRITE-IN
2819,103,NON,13,WRITE-IN
2820,104,NON,4,WRITE-IN
2821,105,NON,4,WRITE-IN
2822,106,NON,13,WRITE-IN
2823,107,NON,2,WRITE-IN
2824,108,NON,10,WRITE-IN
2825,109,NON,6,WRITE-IN
2826,110,NON,14,WRITE-IN
2827,111,NON,15,WRITE-IN
2828,112,NON,4,WRITE-IN
2829,113,NON,15,WRITE-IN
2830,114,NON,7,WRITE-IN
2831,115,NON,9,WRITE-IN
2832,116,NON,2,WRITE-IN
2833,117,NON,6,WRITE-IN
2834,118,NON,7,WRITE-IN
2835,119,NON,5,WRITE-IN
2836,120,NON,5,WRITE-IN
2837,121,NON,4,WRITE-IN
2838,122,NON,2,WRITE-IN
2839,123,NON,6,WRITE-IN
2840,124,NON,2,WRITE-IN
2841,125,NON,2,WRITE-IN
2842,126,NON,7,WRITE-IN
2843,127,NON,16,WRITE-IN
2844,128,NON,15,WRITE-IN
2845,129,NON,21,WRITE-IN
2846,130,NON,13,WRITE-IN
2847,131,NON,9,WRITE-IN
2848,132,NON,6,WRITE-IN
2849,133,NON,3,WRITE-IN
2850,134,NON,3,WRITE-IN
2851,135,NON,10,WRITE-IN
2852,136,NON,3,WRITE-IN
2853,137,NON,2,WRITE-IN
2854,138,NON,22,WRITE-IN
2855,139,NON,12,WRITE-IN
2856,140,NON,9,WRITE-IN
2857,141,NON,7,WRITE-IN
2858,142,NON,15,WRITE-IN
2859,143,NON,23,WRITE-IN
2860,20,DEM,242,Jim Graham
2861,22,DEM,1045,Jim Graham
2862,23,DEM,732,Jim Graham
2863,24,DEM,723,Jim Graham
2864,25,DEM,1302,Jim Graham
2865,35,DEM,1008,Jim Graham
2866,36,DEM,1034,Jim Graham
2867,37,DEM,697,Jim Graham
2868,38,DEM,675,Jim Graham
2869,39,DEM,993,Jim Graham
2870,40,DEM,1111,Jim Graham
2871,41,DEM,850,Jim Graham
2872,42,DEM,471,Jim Graham
2873,43,DEM,490,Jim Graham
2874,136,DEM,258,Jim Graham
2875,137,DEM,315,Jim Graham
2876,20,GRN,13,Nancy Shia
2877,22,GRN,105,Nancy Shia
2878,23,GRN,64,Nancy Shia
2879,24,GRN,83,Nancy Shia
2880,25,GRN,190,Nancy Shia
2881,35,GRN,177,Nancy Shia
2882,36,GRN,110,Nancy Shia
2883,37,GRN,62,Nancy Shia
2884,38,GRN,69,Nancy Shia
2885,39,GRN,133,Nancy Shia
2886,40,GRN,148,Nancy Shia
2887,41,GRN,71,Nancy Shia
2888,42,GRN,50,Nancy Shia
2889,43,GRN,56,Nancy Shia
2890,136,GRN,19,Nancy Shia
2891,137,GRN,26,Nancy Shia
2892,20,REP,12,Marc Morgan
2893,22,REP,106,Marc Morgan
2894,23,REP,56,Marc Morgan
2895,24,REP,79,Marc Morgan
2896,25,REP,197,Marc Morgan
2897,35,REP,78,Marc Morgan
2898,36,REP,83,Marc Morgan
2899,37,REP,58,Marc Morgan
2900,38,REP,46,Marc Morgan
2901,39,REP,107,Marc Morgan
2902,40,REP,128,Marc Morgan
2903,41,REP,61,Marc Morgan
2904,42,REP,24,Marc Morgan
2905,43,REP,26,Marc Morgan
2906,136,REP,54,Marc Morgan
2907,137,REP,22,Marc Morgan
2908,20,NON,0,WRITE-IN
2909,22,NON,19,WRITE-IN
2910,23,NON,12,WRITE-IN
2911,24,NON,15,WRITE-IN
2912,25,NON,30,WRITE-IN
2913,35,NON,27,WRITE-IN
2914,36,NON,11,WRITE-IN
2915,37,NON,11,WRITE-IN
2916,38,NON,20,WRITE-IN
2917,39,NON,34,WRITE-IN
2918,40,NON,19,WRITE-IN
2919,41,NON,17,WRITE-IN
2920,42,NON,7,WRITE-IN
2921,43,NON,4,WRITE-IN
2922,136,NON,5,WRITE-IN
2923,137,NON,2,WRITE-IN
2924,7,REP,244,Dave Hedgepeth
2925,8,REP,608,Dave Hedgepeth
2926,9,REP,390,Dave Hedgepeth
2927,10,REP,405,Dave Hedgepeth
2928,11,REP,447,Dave Hedgepeth
2929,12,REP,146,Dave Hedgepeth
2930,26,REP,294,Dave Hedgepeth
2931,27,REP,349,Dave Hedgepeth
2932,28,REP,464,Dave Hedgepeth
2933,29,REP,246,Dave Hedgepeth
2934,30,REP,369,Dave Hedgepeth
2935,31,REP,480,Dave Hedgepeth
2936,32,REP,429,Dave Hedgepeth
2937,33,REP,455,Dave Hedgepeth
2938,34,REP,370,Dave Hedgepeth
2939,50,REP,365,Dave Hedgepeth
2940,138,REP,302,Dave Hedgepeth
2941,7,DEM,389,Mary Cheh
2942,8,DEM,787,Mary Cheh
2943,9,DEM,384,Mary Cheh
2944,10,DEM,719,Mary Cheh
2945,11,DEM,941,Mary Cheh
2946,12,DEM,155,Mary Cheh
2947,26,DEM,952,Mary Cheh
2948,27,DEM,789,Mary Cheh
2949,28,DEM,813,Mary Cheh
2950,29,DEM,398,Mary Cheh
2951,30,DEM,467,Mary Cheh
2952,31,DEM,841,Mary Cheh
2953,32,DEM,895,Mary Cheh
2954,33,DEM,924,Mary Cheh
2955,34,DEM,1182,Mary Cheh
2956,50,DEM,772,Mary Cheh
2957,138,DEM,733,Mary Cheh
2958,7,NON,2,WRITE-IN
2959,8,NON,7,WRITE-IN
2960,9,NON,18,WRITE-IN
2961,10,NON,10,WRITE-IN
2962,11,NON,15,WRITE-IN
2963,12,NON,1,WRITE-IN
2964,26,NON,8,WRITE-IN
2965,27,NON,14,WRITE-IN
2966,28,NON,15,WRITE-IN
2967,29,NON,2,WRITE-IN
2968,30,NON,6,WRITE-IN
2969,31,NON,15,WRITE-IN
2970,32,NON,27,WRITE-IN
2971,33,NON,15,WRITE-IN
2972,34,NON,12,WRITE-IN
2973,50,NON,14,WRITE-IN
2974,138,NON,9,WRITE-IN
2975,19,DEM,998,"Harry Tommy Thomas, Jr."
2976,44,DEM,840,"Harry Tommy Thomas, Jr."
2977,66,DEM,1855,"Harry Tommy Thomas, Jr."
2978,67,DEM,1218,"Harry Tommy Thomas, Jr."
2979,68,DEM,665,"Harry Tommy Thomas, Jr."
2980,69,DEM,909,"Harry Tommy Thomas, Jr."
2981,70,DEM,553,"Harry Tommy Thomas, Jr."
2982,71,DEM,877,"Harry Tommy Thomas, Jr."
2983,72,DEM,1226,"Harry Tommy Thomas, Jr."
2984,73,DEM,670,"Harry Tommy Thomas, Jr."
2985,74,DEM,1086,"Harry Tommy Thomas, Jr."
2986,75,DEM,762,"Harry Tommy Thomas, Jr."
2987,76,DEM,203,"Harry Tommy Thomas, Jr."
2988,77,DEM,694,"Harry Tommy Thomas, Jr."
2989,78,DEM,571,"Harry Tommy Thomas, Jr."
2990,79,DEM,344,"Harry Tommy Thomas, Jr."
2991,135,DEM,855,"Harry Tommy Thomas, Jr."
2992,139,DEM,820,"Harry Tommy Thomas, Jr."
2993,19,REP,106,Tim Day
2994,44,REP,75,Tim Day
2995,66,REP,95,Tim Day
2996,67,REP,71,Tim Day
2997,68,REP,108,Tim Day
2998,69,REP,49,Tim Day
2999,70,REP,50,Tim Day
3000,71,REP,39,Tim Day
3001,72,REP,37,Tim Day
3002,73,REP,113,Tim Day
3003,74,REP,80,Tim Day
3004,75,REP,53,Tim Day
3005,76,REP,5,Tim Day
3006,77,REP,32,Tim Day
3007,78,REP,16,Tim Day
3008,79,REP,17,Tim Day
3009,135,REP,101,Tim Day
3010,139,REP,26,Tim Day
3011,19,IND,134,Kathy Henderson
3012,44,IND,68,Kathy Henderson
3013,66,IND,161,Kathy Henderson
3014,67,IND,121,Kathy Henderson
3015,68,IND,128,Kathy Henderson
3016,69,IND,77,Kathy Henderson
3017,70,IND,70,Kathy Henderson
3018,71,IND,74,Kathy Henderson
3019,72,IND,109,Kathy Henderson
3020,73,IND,91,Kathy Henderson
3021,74,IND,86,Kathy Henderson
3022,75,IND,67,Kathy Henderson
3023,76,IND,15,Kathy Henderson
3024,77,IND,73,Kathy Henderson
3025,78,IND,170,Kathy Henderson
3026,79,IND,37,Kathy Henderson
3027,135,IND,89,Kathy Henderson
3028,139,IND,81,Kathy Henderson
3029,19,NON,13,WRITE-IN
3030,44,NON,9,WRITE-IN
3031,66,NON,12,WRITE-IN
3032,67,NON,13,WRITE-IN
3033,68,NON,22,WRITE-IN
3034,69,NON,12,WRITE-IN
3035,70,NON,6,WRITE-IN
3036,71,NON,17,WRITE-IN
3037,72,NON,19,WRITE-IN
3038,73,NON,5,WRITE-IN
3039,74,NON,12,WRITE-IN
3040,75,NON,11,WRITE-IN
3041,76,NON,1,WRITE-IN
3042,77,NON,4,WRITE-IN
3043,78,NON,4,WRITE-IN
3044,79,NON,5,WRITE-IN
3045,135,NON,15,WRITE-IN
3046,139,NON,14,WRITE-IN
3047,1,DEM,669,Tommy Wells
3048,81,DEM,1455,Tommy Wells
3049,82,DEM,945,Tommy Wells
3050,83,DEM,1188,Tommy Wells
3051,84,DEM,856,Tommy Wells
3052,85,DEM,1084,Tommy Wells
3053,86,DEM,760,Tommy Wells
3054,87,DEM,1063,Tommy Wells
3055,88,DEM,962,Tommy Wells
3056,89,DEM,1136,Tommy Wells
3057,90,DEM,696,Tommy Wells
3058,91,DEM,1398,Tommy Wells
3059,127,DEM,1402,Tommy Wells
3060,128,DEM,651,Tommy Wells
3061,130,DEM,326,Tommy Wells
3062,131,DEM,489,Tommy Wells
3063,142,DEM,541,Tommy Wells
3064,143,DEM,635,Tommy Wells
3065,1,REP,51,Jim DeMartino
3066,81,REP,151,Jim DeMartino
3067,82,REP,91,Jim DeMartino
3068,83,REP,103,Jim DeMartino
3069,84,REP,185,Jim DeMartino
3070,85,REP,231,Jim DeMartino
3071,86,REP,126,Jim DeMartino
3072,87,REP,113,Jim DeMartino
3073,88,REP,183,Jim DeMartino
3074,89,REP,306,Jim DeMartino
3075,90,REP,145,Jim DeMartino
3076,91,REP,186,Jim DeMartino
3077,127,REP,135,Jim DeMartino
3078,128,REP,89,Jim DeMartino
3079,130,REP,146,Jim DeMartino
3080,131,REP,163,Jim DeMartino
3081,142,REP,90,Jim DeMartino
3082,143,REP,180,Jim DeMartino
3083,1,NON,5,WRITE-IN
3084,81,NON,18,WRITE-IN
3085,82,NON,8,WRITE-IN
3086,83,NON,12,WRITE-IN
3087,84,NON,7,WRITE-IN
3088,85,NON,11,WRITE-IN
3089,86,NON,16,WRITE-IN
3090,87,NON,6,WRITE-IN
3091,88,NON,5,WRITE-IN
3092,89,NON,12,WRITE-IN
3093,90,NON,0,WRITE-IN
3094,91,NON,5,WRITE-IN
3095,127,NON,17,WRITE-IN
3096,128,NON,15,WRITE-IN
3097,130,NON,4,WRITE-IN
3098,131,NON,2,WRITE-IN
3099,142,NON,6,WRITE-IN
3100,143,NON,5,WRITE-IN
3101,1,REP,37,Nelson Rimensnyder
3102,2,REP,28,Nelson Rimensnyder
3103,3,REP,139,Nelson Rimensnyder
3104,4,REP,159,Nelson Rimensnyder
3105,5,REP,239,Nelson Rimensnyder
3106,6,REP,219,Nelson Rimensnyder
3107,7,REP,157,Nelson Rimensnyder
3108,8,REP,340,Nelson Rimensnyder
3109,9,REP,269,Nelson Rimensnyder
3110,10,REP,245,Nelson Rimensnyder
3111,11,REP,262,Nelson Rimensnyder
3112,12,REP,101,Nelson Rimensnyder
3113,13,REP,95,Nelson Rimensnyder
3114,14,REP,148,Nelson Rimensnyder
3115,15,REP,143,Nelson Rimensnyder
3116,16,REP,125,Nelson Rimensnyder
3117,17,REP,191,Nelson Rimensnyder
3118,18,REP,79,Nelson Rimensnyder
3119,19,REP,58,Nelson Rimensnyder
3120,20,REP,11,Nelson Rimensnyder
3121,21,REP,39,Nelson Rimensnyder
3122,22,REP,92,Nelson Rimensnyder
3123,23,REP,48,Nelson Rimensnyder
3124,24,REP,65,Nelson Rimensnyder
3125,25,REP,184,Nelson Rimensnyder
3126,26,REP,160,Nelson Rimensnyder
3127,27,REP,141,Nelson Rimensnyder
3128,28,REP,285,Nelson Rimensnyder
3129,29,REP,110,Nelson Rimensnyder
3130,30,REP,134,Nelson Rimensnyder
3131,31,REP,228,Nelson Rimensnyder
3132,32,REP,203,Nelson Rimensnyder
3133,33,REP,177,Nelson Rimensnyder
3134,34,REP,205,Nelson Rimensnyder
3135,35,REP,76,Nelson Rimensnyder
3136,36,REP,107,Nelson Rimensnyder
3137,37,REP,39,Nelson Rimensnyder
3138,38,REP,48,Nelson Rimensnyder
3139,39,REP,92,Nelson Rimensnyder
3140,40,REP,98,Nelson Rimensnyder
3141,41,REP,62,Nelson Rimensnyder
3142,42,REP,23,Nelson Rimensnyder
3143,43,REP,30,Nelson Rimensnyder
3144,44,REP,68,Nelson Rimensnyder
3145,45,REP,17,Nelson Rimensnyder
3146,46,REP,25,Nelson Rimensnyder
3147,47,REP,54,Nelson Rimensnyder
3148,48,REP,54,Nelson Rimensnyder
3149,49,REP,16,Nelson Rimensnyder
3150,50,REP,148,Nelson Rimensnyder
3151,51,REP,322,Nelson Rimensnyder
3152,52,REP,113,Nelson Rimensnyder
3153,53,REP,30,Nelson Rimensnyder
3154,54,REP,35,Nelson Rimensnyder
3155,55,REP,30,Nelson Rimensnyder
3156,56,REP,41,Nelson Rimensnyder
3157,57,REP,29,Nelson Rimensnyder
3158,58,REP,23,Nelson Rimensnyder
3159,59,REP,23,Nelson Rimensnyder
3160,60,REP,27,Nelson Rimensnyder
3161,61,REP,29,Nelson Rimensnyder
3162,62,REP,62,Nelson Rimensnyder
3163,63,REP,60,Nelson Rimensnyder
3164,64,REP,21,Nelson Rimensnyder
3165,65,REP,24,Nelson Rimensnyder
3166,66,REP,47,Nelson Rimensnyder
3167,67,REP,39,Nelson Rimensnyder
3168,68,REP,66,Nelson Rimensnyder
3169,69,REP,33,Nelson Rimensnyder
3170,70,REP,34,Nelson Rimensnyder
3171,71,REP,32,Nelson Rimensnyder
3172,72,REP,44,Nelson Rimensnyder
3173,73,REP,49,Nelson Rimensnyder
3174,74,REP,53,Nelson Rimensnyder
3175,75,REP,16,Nelson Rimensnyder
3176,76,REP,9,Nelson Rimensnyder
3177,77,REP,29,Nelson Rimensnyder
3178,78,REP,17,Nelson Rimensnyder
3179,79,REP,18,Nelson Rimensnyder
3180,80,REP,23,Nelson Rimensnyder
3181,81,REP,120,Nelson Rimensnyder
3182,82,REP,92,Nelson Rimensnyder
3183,83,REP,112,Nelson Rimensnyder
3184,84,REP,182,Nelson Rimensnyder
3185,85,REP,262,Nelson Rimensnyder
3186,86,REP,117,Nelson Rimensnyder
3187,87,REP,105,Nelson Rimensnyder
3188,88,REP,184,Nelson Rimensnyder
3189,89,REP,334,Nelson Rimensnyder
3190,90,REP,152,Nelson Rimensnyder
3191,91,REP,187,Nelson Rimensnyder
3192,92,REP,11,Nelson Rimensnyder
3193,93,REP,11,Nelson Rimensnyder
3194,94,REP,12,Nelson Rimensnyder
3195,95,REP,8,Nelson Rimensnyder
3196,96,REP,14,Nelson Rimensnyder
3197,97,REP,8,Nelson Rimensnyder
3198,98,REP,9,Nelson Rimensnyder
3199,99,REP,12,Nelson Rimensnyder
3200,100,REP,5,Nelson Rimensnyder
3201,101,REP,12,Nelson Rimensnyder
3202,102,REP,12,Nelson Rimensnyder
3203,103,REP,18,Nelson Rimensnyder
3204,104,REP,13,Nelson Rimensnyder
3205,105,REP,11,Nelson Rimensnyder
3206,106,REP,24,Nelson Rimensnyder
3207,107,REP,5,Nelson Rimensnyder
3208,108,REP,18,Nelson Rimensnyder
3209,109,REP,11,Nelson Rimensnyder
3210,110,REP,29,Nelson Rimensnyder
3211,111,REP,16,Nelson Rimensnyder
3212,112,REP,22,Nelson Rimensnyder
3213,113,REP,24,Nelson Rimensnyder
3214,114,REP,10,Nelson Rimensnyder
3215,115,REP,17,Nelson Rimensnyder
3216,116,REP,24,Nelson Rimensnyder
3217,117,REP,10,Nelson Rimensnyder
3218,118,REP,9,Nelson Rimensnyder
3219,119,REP,16,Nelson Rimensnyder
3220,120,REP,11,Nelson Rimensnyder
3221,121,REP,25,Nelson Rimensnyder
3222,122,REP,10,Nelson Rimensnyder
3223,123,REP,20,Nelson Rimensnyder
3224,124,REP,17,Nelson Rimensnyder
3225,125,REP,23,Nelson Rimensnyder
3226,126,REP,24,Nelson Rimensnyder
3227,127,REP,129,Nelson Rimensnyder
3228,128,REP,70,Nelson Rimensnyder
3229,129,REP,107,Nelson Rimensnyder
3230,130,REP,160,Nelson Rimensnyder
3231,131,REP,144,Nelson Rimensnyder
3232,132,REP,11,Nelson Rimensnyder
3233,133,REP,8,Nelson Rimensnyder
3234,134,REP,8,Nelson Rimensnyder
3235,135,REP,59,Nelson Rimensnyder
3236,136,REP,42,Nelson Rimensnyder
3237,137,REP,19,Nelson Rimensnyder
3238,138,REP,162,Nelson Rimensnyder
3239,139,REP,27,Nelson Rimensnyder
3240,140,REP,11,Nelson Rimensnyder
3241,141,REP,76,Nelson Rimensnyder
3242,142,REP,74,Nelson Rimensnyder
3243,143,REP,168,Nelson Rimensnyder
